table,device,orientation,R1,R2,inclination_deg,effective_SC,source_pdf_page
C13,horizontal_projection,East & West,0.9,,20,0.4991,43
C13,horizontal_projection,East & West,0.9,,30,0.4608,43
C13,horizontal_projection,East & West,0.9,,40,0.4389,43
C13,horizontal_projection,East & West,0.9,,50,0.4237,43
C13,horizontal_projection,East & West,1.0,,0,0.5827,43
C13,horizontal_projection,East & West,1.0,,10,0.5232,43
C13,horizontal_projection,East & West,1.0,,20,0.4727,43
C13,horizontal_projection,East & West,1.0,,30,0.4442,43
C13,horizontal_projection,East & West,1.0,,40,0.4222,43
C13,horizontal_projection,East & West,1.0,,50,0.4062,43
C13,horizontal_projection,East & West,1.1,,0,0.5656,43
C13,horizontal_projection,East & West,1.1,,10,0.5002,43
C13,horizontal_projection,East & West,1.1,,20,0.4587,43
C13,horizontal_projection,East & West,1.1,,30,0.4296,43
C13,horizontal_projection,East & West,1.1,,40,0.4075,43
C13,horizontal_projection,East & West,1.1,,50,0.4010,43
C13,horizontal_projection,East & West,1.2,,0,0.5485,43
C13,horizontal_projection,East & West,1.2,,10,0.4828,43
C13,horizontal_projection,East & West,1.2,,20,0.4468,43
C13,horizontal_projection,East & West,1.2,,30,0.4151,43
C13,horizontal_projection,East & West,1.2,,40,0.4036,43
C13,horizontal_projection,East & West,1.2,,50,0.3969,43
C13,horizontal_projection,East & West,1.3,,0,0.5314,43
C13,horizontal_projection,East & West,1.3,,10,0.4739,43
C13,horizontal_projection,East & West,1.3,,20,0.4349,43
C13,horizontal_projection,East & West,1.3,,30,0.4089,43
C13,horizontal_projection,East & West,1.3,,40,0.3999,43
C13,horizontal_projection,East & West,1.3,,50,0.3963,43
C13,horizontal_projection,East & West,1.4,,0,0.5156,43
C13,horizontal_projection,East & West,1.4,,10,0.4650,43
C13,horizontal_projection,East & West,1.4,,20,0.4230,43
C13,horizontal_projection,East & West,1.4,,30,0.4059,43
C13,horizontal_projection,East & West,1.4,,40,0.3969,43
C13,horizontal_projection,East & West,1.4,,50,0.3963,43
C13,horizontal_projection,East & West,1.5,,0,0.5051,43
C13,horizontal_projection,East & West,1.5,,10,0.4561,43
C13,horizontal_projection,East & West,1.5,,20,0.4147,43
C13,horizontal_projection,East & West,1.5,,30,0.4029,43
C13,horizontal_projection,East & West,1.5,,40,0.3963,43
C13,horizontal_projection,East & West,1.5,,50,0.3963,43
C13,horizontal_projection,East & West,1.6,,0,0.4995,43
C13,horizontal_projection,East & West,1.6,,10,0.4472,43
C13,horizontal_projection,East & West,1.6,,20,0.4123,43
C13,horizontal_projection,East & West,1.6,,30,0.3999,43
C13,horizontal_projection,East & West,1.6,,40,0.3963,43
C13,horizontal_projection,East & West,1.6,,50,0.3963,43
C13,horizontal_projection,East & West,1.7,,0,0.4939,43
C13,horizontal_projection,East & West,1.7,,10,0.4383,43
C13,horizontal_projection,East & West,1.7,,20,0.4101,43
C13,horizontal_projection,East & West,1.7,,30,0.3974,43
C13,horizontal_projection,East & West,1.7,,40,0.3963,43
C13,horizontal_projection,East & West,1.7,,50,0.3963,43
C13,horizontal_projection,East & West,1.8,,0,0.4882,43
C13,horizontal_projection,East & West,1.8,,10,0.4294,43
C13,horizontal_projection,East & West,1.8,,20,0.4079,43
